,id,overall_status,study_type,start_date,enrollment,title,date_processed,sponsors
0,NCT03827109,Recruiting,Interventional,"June 12, 2019",300,Peer Mentoring to Improve Self-management in Youth With IBD,"April 14, 2021",Laura Mackner
1,NCT03852537,Completed,Interventional,"December 2, 2019",44,SMART Trial: Steroid Dosing by bioMARker Guided Titration in Critically Ill Patients With Pneumonia,"April 14, 2021",Mayo Clinic
2,NCT03856749,Recruiting,Interventional,"December 4, 2019",50,Effectiveness of Wheelchair Skills Training for Caregivers of Manual Wheelchair Users: a Randomized Waitlist-controlled Trial,"April 14, 2021",Lee Kirby
3,NCT03871491,Recruiting,Interventional,"September 1, 2020",34000,Prevention of Maternal and Neonatal Death/Infections With a Single Oral Dose of Azithromycin in Women in Labor (in Low- and Middle-income Countries): a Randomized Controlled Trial,"April 14, 2021",NICHD Global Network for Women's and Children's Health
4,NCT03873467,"Active, not recruiting",Interventional,"July 8, 2019",65,Efficacy of an Evidence-based Healthy Lifestyle Intervention for People Following CVA,"April 14, 2021",Baylor Research Institute
5,NCT03881228,Recruiting,Interventional,"December 1, 2019",300,Patient Centered Intervention to Prevent Tuberculosis Among Children Under Five Years Old Who Are Household Contacts of Persons With Tuberculosis,"April 14, 2021",Universidad Peruana Cayetano Heredia
6,NCT03885232,Enrolling by invitation,Interventional,"September 1, 2019",1000,Presumptively Initiating Vaccines and Optimizing Talk With Motivational Interviewing (PIVOT With MI),"April 14, 2021","University of Colorado, Denver"
7,NCT03891420,Recruiting,Interventional,"April 9, 2020",132,"A Phase 1b Double-blind, Placebo-controlled, Dose-ranging Study to Evaluate the Safety, Pharmacokinetics, and Anti-viral Effects of Galidesivir Administered Via Intravenous Infusion to Subjects With Yellow Fever or COVID-19","April 14, 2021",BioCryst Pharmaceuticals
8,NCT03907891,Recruiting,Interventional,"August 1, 2019",225,A Randomized Controlled Trial to Reduce Hopelessness Through Enhanced Physical Activity in Adults With Ischemic Heart Disease,"April 14, 2021",University of Illinois at Chicago
9,NCT03916224,Completed,Observational [Patient Registry],"April 15, 2019",1800,Clinical Practice and Risk Factors for Major Adverse Events in the Tracheal Intubation in the Intensive Care Unit: A Prospective Multicentre Study,"April 14, 2021",Spanish Network for Research in Infectious Diseases
10,NCT03917290,Recruiting,Interventional,"April 2, 2019",40,A Sports Injury Prevention Program to Reduce Subsequent Injuries After Concussion,"April 14, 2021","University of Colorado, Denver"
11,NCT03922334,Recruiting,Interventional,"January 21, 2020",400,Navigating New Motherhood 2: Patient Navigation to Improve Outcomes Among Low-income Women in the Postpartum Period,"April 14, 2021",Northwestern University
12,NCT03923504,Recruiting,Interventional,"May 10, 2019",18,Improving Exercise Capacity With a Tailored Physical Activity Intervention in Lymphoma and Breast Cancer Patients Undergoing Treatment,"April 14, 2021",Virginia Commonwealth University
13,NCT03925272,Recruiting,Interventional,"February 2, 2011",2200,"Constitution d'Une Cohorte Prospective de Sujets Sains et Malades et d'Une Collection de Ressources Biologiques associées Pour l'étude du système Immunitaire et de Ses déterminants Génétiques et Environnementaux""","April 14, 2021",Institut Pasteur
14,NCT03929393,"Active, not recruiting",Interventional,"July 17, 2019",176,Mindful Movement for Physical Activity and Wellbeing in Older Adults- A Community Based Randomized Hybrid Effectiveness-Implementation Study,"April 14, 2021",University of Minnesota
15,NCT03944447,Recruiting,Interventional,"December 1, 2018",200000,Outcomes Mandate National Integration With Cannabis as Medicine for Prevention and Treatment of COVID-19,"April 14, 2021","OMNI Medical Services, LLC"
16,NCT03951454,Enrolling by invitation,Interventional,"April 16, 2019",156,Taking Time to Connect: A Randomized Clinical Trial for Hispanic Mothers Diagnosed With Cancer,"April 14, 2021",New Mexico State University
17,NCT03959995,Completed,Interventional,"January 15, 2019",27,Effects of an Optimized 13-month Physical Exercise on (Early)-Postmenopausal Risk Factors in Women With Osteopenia and Osteoporosis (Actlife),"April 14, 2021",University of Erlangen-Nürnberg Medical School
18,NCT03963622,Recruiting,Interventional,"November 23, 2020",740,Careful Ventilation in Acute Respiratory Distress Syndrome,"April 14, 2021",Unity Health Toronto
19,NCT03964142,Recruiting,Interventional,"August 1, 2018",340,Randomized Controlled Trial on Comprehensive Exercise-based Cardiac Rehabilitation Programs for the Prevention of Anthracyclines and/or Anti-HER2 Antibodies-induced Cardiotoxicity in Breast Cancer,"April 14, 2021",Hospital Clinico Universitario de Santiago
20,NCT03966872,"Active, not recruiting",Interventional,"September 2, 2019",600,Comparative Effectiveness of Integrated Illness Management and Recovery Versus the Chronic Disease Self-Management Program,"April 14, 2021",Dartmouth-Hitchcock Medical Center
21,NCT03983733,"Active, not recruiting",Interventional,"June 10, 2019",1139,PREDICT 2: Personalized Responses to Dietary Composition Trial 2,"April 14, 2021",Zoe Global Limited
22,NCT03990662,Recruiting,Observational,"June 14, 2019",100,Predictors of Pain Reduction Following Manual Therapy in Patients With Temporomandibular Disorders: a Prospective Observational Study,"April 14, 2021",Istituto Stomatologico Italiano
23,NCT04000035,Recruiting,Interventional,"March 1, 2019",1000,HealthAtWork - a Measure for Increased Coping and Work Inclusion - An Analysis of Effect of Preventive Information Given at the Workplace - Part 1: Quantitative Data Collection,"April 14, 2021",University Hospital of North Norway
24,NCT04011644,Recruiting,Interventional,"March 23, 2020",566,Integrating mHealth for Alcohol Use Disorders Into Clinical Practice,"April 14, 2021","University of Wisconsin, Madison"
25,NCT04020484,Recruiting,Interventional,"December 2, 2019",100,A Live-Online Mindfulness-based Intervention for Families of Children With Epilepsy: Making Mindfulness Matter© Randomized Control Trial,"April 14, 2021",Lawson Health Research Institute
26,NCT04025151,Not yet recruiting,Interventional,"September 30, 2020",770,Nurse-led Alcohol Brief Intervention Plus Mobile Personalized Chat-based Support on Reducing Alcohol Use in University Students: a Pragmatic Randomized Controlled Trial,"April 14, 2021",The University of Hong Kong
27,NCT04025580,Recruiting,Interventional,"October 2, 2019",300,Systems Analyses of the Immune Response to the Seasonal Influenza Vaccine,"April 14, 2021",National Institute of Allergy and Infectious Diseases (NIAID)
28,NCT04026152,Completed,Interventional,"July 14, 2019",59,Using the Unified Protocol to Reduce Exercise Anxiety and Improve Adherence to a Resistance Training Program for People With Anxiety-Related Disorders: A Randomized Controlled Trial,"April 14, 2021",University of Regina
29,NCT04029194,"Active, not recruiting",Interventional,"February 4, 2019",1459,The Causal Effects of Old Age Pensions,"April 14, 2021","National Bureau of Economic Research, Inc."
30,NCT04039165,Recruiting,Interventional,"July 25, 2019",64,Developing a Positive Psychology Intervention to Promote Health Behaviors in Metabolic Syndrome: A Randomized Controlled Pilot Trial,"April 14, 2021",Massachusetts General Hospital
31,NCT04039243,Recruiting,Interventional,"September 27, 2019",90,Addressing Anxiety in 2-Year-Olds: A Pilot Screening and Intervention Study,"April 14, 2021",Massachusetts General Hospital
32,NCT04041453,Completed,Interventional,"October 9, 2019",176,"Prospective, Parallel-group, Open-label Randomized Controlled Trial of Four Treatment Regimes for Trichuriasis in Pediatric Patients","April 14, 2021",Alejandro Krolewiecki
33,NCT04043364,"Active, not recruiting",Interventional,"August 1, 2019",280,"LIVE@Home.Path: a Mixed Method, Stepped Wedge and Randomized Controlled Trial Innovating the Clinical Pathway for Home-dwelling Persons With Dementia and Their Families","April 14, 2021",University of Bergen
34,NCT04055376,"Active, not recruiting",Interventional,"August 14, 2019",15,Chronic Treatment of Alzheimer's Disease With Gamma Frequency Stimulation,"April 14, 2021",Massachusetts Institute of Technology
35,NCT04055948,Recruiting,Interventional,"December 1, 2019",180,Building Family Caregiver Skills Using a Simulation-Based Intervention for Care of Patients With Cancer,"April 14, 2021",Case Comprehensive Cancer Center
36,NCT04061382,Recruiting,Observational,"October 15, 2019",2800,Serum Testing of Representative Youngsters: Sero- Epidemiological Survey of England in 2019/2020,"April 14, 2021",University of Oxford
37,NCT04061785,Recruiting,Interventional,"September 30, 2019",200,Impact of Skills Acquired Through Judo Training on Risk Factors for Falling in Elderly Men and Women,"April 14, 2021",Dalarna University
38,NCT04068922,Recruiting,Interventional,"January 21, 2020",60,Adaptability and Resilience in Aging Adults-2,"April 14, 2021",University of Florida
39,NCT04076722,Completed,Interventional,"December 4, 2019",55,"Neurotrophic Indicators of Cognition, Executive Skills, Plasticity, and Adverse Childhood Experiences Study ""NICE SPACES""","April 14, 2021",Oklahoma State University
40,NCT04091893,"Active, not recruiting",Interventional,"October 12, 2019",64,The Analgesic Museum: The Development and Effectiveness of Museum-Based Experiences to Reduce Social Isolation and Pain Among Individuals With Chronic Pain,"April 14, 2021","University of California, Davis"
41,NCT04104321,Recruiting,Interventional,"September 23, 2019",2000,"A Phase 3, Multinational, Multicenter, Randomized, Double-Blind, Placebo-Controlled Clinical Study to Evaluate the Efficacy and Safety of Aramchol in Subjects With Nonalcoholic Steatohepatitis (NASH) With Open-Label Part to Evaluate the Safety, PK and Treatment Response Kinetics of Aramchol. The ARMOR Study","April 14, 2021","Galmed Research and Development, Ltd."
42,NCT04107402,Recruiting,Interventional,"March 15, 2019",150,Prospective Evaluation of PLatelets Acetyl-CoA Carboxylase Phosphorylation State in SEPtic Shock Patients. Impact of Platelets Metabolism to Inflammatory Response.,"April 14, 2021",Cliniques universitaires Saint-Luc- Université Catholique de Louvain
43,NCT04114110,"Active, not recruiting",Observational,"January 6, 2020",2000,"A Retrospective, Observational Analysis Using Real Time Location Systems (RTLS) Technology to Explore the Effects of Clinical Staffing on Hospital Productivity and Patient Health Outcomes","April 14, 2021",The Royal Wolverhampton Hospitals NHS Trust
44,NCT04114864,Recruiting,Interventional,"October 20, 2019",600,A Primary Prevention Intervention for the Promotion of Psycho-social Wellbeing in Adolescent Young Carers: a Randomized Control Trial in the Project H2020 ME-WE,"April 14, 2021",Valentina Hlebec
45,NCT04136340,Recruiting,Interventional,"October 24, 2019",466,Virtual Visits by Supportive Care Specialists to Cancer Patients at Home: A Randomized Controlled Pilot Noninferiority Trial of Video Telemedicine,"April 14, 2021",Memorial Sloan Kettering Cancer Center
46,NCT04144231,Recruiting,Interventional,"December 19, 2019",120,Cognitive Behavioral Therapy for Insomnia (CBT-I) in Schizophrenia - A Randomized Controlled Clinical Trial (SLEEPINS),"April 14, 2021",Helsinki University Central Hospital
47,NCT04148430,Recruiting,Interventional,"October 30, 2019",90,A Phase II Study of IL-1 Receptor Antagonist Anakinra to Prevent Severe Neurotoxicity and Cytokine Release Syndrome in Patients Receiving CD19-Specific Chimeric Antigen Receptor (CAR) T Cells And to Treat Systemic Inflammation Associated With COVID-19,"April 14, 2021",Memorial Sloan Kettering Cancer Center
48,NCT04153864,Recruiting,Interventional,"January 6, 2020",1368,Scaling Up Maternal Mental Health Care by Increasing Access to Treatment (SUMMIT): A Study Protocol for Perinatal Depression and Anxiety,"April 14, 2021","Mount Sinai Hospital, Canada"
49,NCT04155463,Recruiting,Interventional,"February 23, 2021",40,Measurement of Agricultural and Dietary Glyphosate Exposure Among Pregnant Women,"April 14, 2021",Boise State University
50,NCT04157296,Recruiting,Interventional,"February 4, 2020",54,Neurally Targeted Cognitive Training to Augment Cognitive Behavioral Therapy (CBT) Outcomes in Pediatric Anxiety,"April 14, 2021",University of Michigan
51,NCT04160975,Completed,Interventional,"December 20, 2019",2902,Persuasion in Medicine: Experimental Evidence on Sender and Signal Effects,"April 14, 2021",Harvard University
52,NCT04168814,Completed,Observational,"June 10, 2020",586,An Observational Study of the Nutritional Status in Locally Advanced or Metastatic Solid Cancer Patients While Receiving Immunotherapy in Spain: the NutriOncoSearch (NOS) Study,"April 14, 2021",Universidad Pontificia Comillas
53,NCT04169542,Recruiting,Observational,"May 21, 2019",600,"Potential Impact of the COVID -19 Pandemic on Financial Toxicity in Breast Cancer Surgical Patients: The Impact on Out of Pocket Costs, Lost Wages and Economic Strain","April 14, 2021",M.D. Anderson Cancer Center
54,NCT04173663,"Active, not recruiting",Interventional,"January 3, 2020",180,Project ASSIST: Advocating for Supports to Improve Service Transitions,"April 14, 2021",Vanderbilt University Medical Center
55,NCT04180709,Recruiting,Interventional,"October 30, 2020",44,Randomised Study of Web-based CBT Intervention (Sleepio) to Reduce Insomnia and Improve Social Recovery in Early Psychosis (CRISP),"April 14, 2021",University of Cambridge
